34
999	1176	1	0	0
1339	1494	1	0	0
1652	1990	1	0	0
2126	2345	1	0	0
2915	3105	2	1	1
3241	3441	2	1	1
3606	3909	2	1	1
4475	4713	1	2	2
4926	5196	1	2	2
5412	5585	1	2	2
5942	6203	2	3	3
6370	6530	2	3	3
6711	6876	2	3	3
7192	7361	1	4	4
7476	7817	1	4	4
7986	8172	1	4	4
8546	8806	2	5	5
9004	9156	2	5	5
9337	9559	2	5	5
9795	10058	2	5	5
10432	10764	1	6	6
10882	11163	1	6	6
11757	12056	2	7	7
12274	12474	2	7	7
12645	12922	2	7	7
13244	13431	1	8	8
13617	13811	1	8	8
13958	14216	1	8	8
14425	14709	1	8	8
15050	15306	2	9	9
15554	15832	2	9	9
16059	16245	2	9	9
16787	17088	1	10	10
17257	17512	1	10	10
